sum_dry_mass_laminae,sum_dry_mass_roots,sum_C_g,Cont_WSC_DM_shoot,mstruct_stem,mstruct,sum_dry_mass_stem,N_content_mstruct_roots,sum_dry_mass_shoot,N_content_mstruct,N_content_mstruct_shoot,sum_respi_roots,sum_N_g_shoot,plant,Tillers_Photosynthesis_An,Total_Transpiration,C_respired_shoot,NS_shoot,C_N_ratio_shoot,N_content_roots,C_N_ratio,mstruct_shoot,NS_laminae,axis,C_respired_roots,NS_stem,sum_NSC_g,C_exudated,Tillers_Photosynthesis,NS,sum_dry_mass,Cont_WSC_DM,sum_N_g,mstruct_laminae,dry_mass_phloem,sum_respi_shoot,NNI,Cont_WSC_DM_stem,senesced_mstruct,Total_Photosynthesis,N_content,NS_roots,t,N_content_total_DM_shoot,shoot_roots_ratio,Cont_WSC_DM_roots,Cont_WSC_DM_laminae,shoot_roots_mstruct_ratio,N_content_shoot
0.02228671,0.04332397,0.03245338,12.046063326842507,0.00691768,0.05500977,0.01142248,1.65883570,0.03370919,3.59669125,6.98012868,0.19654920,0.00139832,1,0.00000000,0.00000337,0.38299467,40.57140376,10.13616262,1.33923170,16.40277067,0.02003290,41.15228485,MS,0.78340511,39.43803111,0.00824908,0.00000000,0.00000000,28.58953239,0.07703316,13.498623649871563,0.00197853,0.01311522,0.00545016,0.32354990,0.94277102,15.348441213851432,0.00000000,0.00000000,2.56841404,19.26676645,10.00000000,4.14819249,0.77807261,14.628821053655185,10.353514229254818,0.57274757,4.14819249
0.02227933,0.04328705,0.03243853,12.025111499524828,0.00692274,0.05506764,0.01143791,1.66245498,0.03371725,3.59765043,6.97922789,0.19464513,0.00139888,1,0.00000000,0.00000331,0.44269410,40.55419555,10.13456033,1.34511591,16.37365070,0.02004349,41.10798178,MS,0.77846169,39.47550334,0.00820876,0.00000000,0.00000000,28.48755557,0.07700430,13.377199453342726,0.00198114,0.01312075,0.00543516,0.31696938,0.94292231,15.358409800487092,0.00000000,0.00000000,2.57276776,19.08858146,11.00000000,4.14885817,0.77892223,14.430370816951365,10.313840491778652,0.57227595,4.14885817
0.02228181,0.04324624,0.03242266,11.983093548140971,0.00692771,0.05513256,0.01144439,1.66562474,0.03372621,3.59798671,6.97606736,0.19227304,0.00139951,1,0.00000000,0.00000697,0.53102407,40.51622678,10.13277556,1.35075439,16.34484900,0.02006162,41.05547405,MS,0.76920054,39.46633195,0.00816434,0.00000000,0.00000000,28.37362437,0.07697244,13.243902732747973,0.00198366,0.01313391,0.00540566,0.31441637,0.94309729,15.34119015141487,0.00000000,0.00000000,2.57710748,18.90403908,12.00000000,4.14962809,0.77986456,14.227163132525694,10.258307075618557,0.57202956,4.14962809
0.02228357,0.04320745,0.03240697,11.934991047030524,0.00693267,0.05519639,0.01144975,1.66837488,0.03373333,3.59830404,6.97352556,0.18947006,0.00140025,1,0.00000000,0.00001414,0.53190733,40.47555410,10.12956831,1.35597118,16.31660338,0.02007957,41.00182900,MS,0.75551343,39.45131502,0.00812056,0.00000000,0.00000000,28.26116398,0.07694077,13.112419436936031,0.00198613,0.01314690,0.00537215,0.31781491,0.94339828,15.31355182762722,0.00000000,0.00000000,2.58138144,18.72503032,13.00000000,4.15095245,0.78072942,14.031672415191007,10.19901770863106,0.57179333,4.15095245
0.02228451,0.04317050,0.03239122,11.881929673643805,0.00693757,0.05525938,0.01145375,1.67101332,0.03373826,3.59853785,6.97090853,0.18707770,0.00140097,1,0.00000000,0.00001414,0.52958635,40.43157480,10.12591471,1.36102778,16.28902560,0.02009735,40.94650926,MS,0.74460324,39.42971430,0.00807710,0.01757655,0.00000000,28.14940955,0.07690876,12.981888636176741,0.00198853,0.01315978,0.00533520,0.31718660,0.94374101,15.277522093090095,0.00000000,0.00000000,2.58557069,18.55075181,14.00000000,4.15246044,0.78151185,13.84151960426045,10.136669184118803,0.57156366,4.15246044
0.02228411,0.04313433,0.03237507,11.823531565963014,0.00694248,0.05532202,0.01145718,1.67343211,0.03374129,3.59872069,6.96849819,0.18538754,0.00140172,1,0.00000000,0.00001476,0.54152384,40.38427009,10.12139631,1.36588141,16.26164634,0.02011511,40.88773150,MS,0.73862064,39.40504272,0.00803338,0.04510623,0.00000000,28.03696466,0.07687561,12.850737323664397,0.00199089,0.01317264,0.00529424,0.32923827,0.94416388,15.234381931642726,0.00000000,0.00000000,2.58974864,18.37843916,15.00000000,4.15432106,0.78223751,13.65425620167659,10.069871907745188,0.57133997,4.15432106
0.02228277,0.04309853,0.03235850,11.759951136650896,0.00694744,0.05538492,0.01145999,1.67564445,0.03374276,3.59881119,6.96616743,0.18454568,0.00140250,1,0.00000000,0.00001897,0.55140536,40.33369095,10.11618362,1.37057022,16.23445946,0.02013306,40.82594512,MS,0.73889552,39.37655320,0.00798913,0.07007735,0.00000000,27.92298681,0.07684129,12.718066073279962,0.00199320,0.01318562,0.00524980,0.33715541,0.94464886,15.184782071648659,0.00000000,0.00000000,2.59391561,18.20638193,16.00000000,4.15645499,0.78292132,13.46819468531538,9.9985669538376,0.57112066,4.15645499
0.02228049,0.04306320,0.03234150,11.691476639222433,0.00695252,0.05544844,0.01146212,1.67772998,0.03374261,3.59879384,6.96374292,0.18423682,0.00140328,1,0.00000000,0.00001939,0.56067935,40.27936431,10.11048699,1.37516720,16.20741502,0.02015130,40.76081212,MS,0.74299870,39.34350847,0.00794419,0.09275114,0.00000000,27.80694638,0.07680581,12.583313884691158,0.00199548,0.01319878,0.00520224,0.34313950,0.94517990,15.12958961101481,0.00000000,0.00000000,2.59807917,18.03405713,17.00000000,4.15879154,0.78356012,13.282121980691125,9.922751252126547,0.57090429,4.15879154
0.02227735,0.04302788,0.03232402,11.617946888760013,0.00695770,0.05551285,0.01146378,1.67961815,0.03374113,3.59864490,6.96128893,0.18428983,0.00140408,1,0.00000000,0.00002393,0.57308383,40.22166676,10.10424292,1.37963413,16.18052687,0.02016988,40.69230803,MS,0.74951963,39.30707875,0.00789837,0.11400807,0.00000000,27.68842842,0.07676901,12.446013681367713,0.00199771,0.01321218,0.00515168,0.35136614,0.94575966,15.069163821188294,0.00000000,0.00000000,2.60223668,17.86025063,18.00000000,4.16134249,0.78416907,13.095358044197836,9.841972208584144,0.57068983,4.16134249
0.02227325,0.04299267,0.03230605,11.53985141204356,0.00696294,0.05557810,0.01146497,1.68139613,0.03373821,3.59842385,6.95882211,0.18436206,0.00140490,1,0.00000000,0.00002461,0.58578807,40.16052361,10.09745055,1.38403736,16.15354664,0.02018877,40.62010353,MS,0.75581915,39.26768759,0.00785168,0.13349926,0.00000000,27.56751175,0.07673089,12.306240587882657,0.00199994,0.01322583,0.00509828,0.35987942,0.94639153,15.004491318771576,0.00000000,0.00000000,2.60642794,17.68522980,19.00000000,4.16412271,0.78474332,12.907659374788935,9.756456846846802,0.57047635,4.16412271
