t,plant,axis,C_exudated,GA,SAM_height,SAM_temperature,Total_Transpiration,cohort,delta_teq,delta_teq_roots,mstruct,nb_leaves,senesced_mstruct,status,sum_TT,sum_respi_roots,sum_respi_shoot,teq_since_primordium
0,1,b'T1',NA,False,0.00000000,5.84000000,NA,4,1670.85866047,1670.85866047,NA,7,NA,vegetative,0.23206370,NA,NA,1670.85866047
0,1,b'T2',NA,False,0.00000000,5.84000000,NA,5,1670.85866047,1670.85866047,NA,6,NA,vegetative,0.23206370,NA,NA,1670.85866047
0,1,b'T3',NA,False,0.00000000,5.84000000,NA,6,1670.85866047,1670.85866047,NA,5,NA,vegetative,0.23206370,NA,NA,1670.85866047
0,1,b'T4',NA,False,0.00000000,5.84000000,NA,7,1670.85866047,1670.85866047,NA,4,NA,vegetative,0.23206370,NA,NA,1670.85866047
0,1,MS,0.00000000,False,0.00000000,5.84000000,NA,1,1670.85866047,1670.85866047,0.05410729,10,0.00000000,vegetative,0.23206370,0.00100000,0.00000000,1670.85866047
1,1,b'T1',NA,False,0.00000000,6.26400000,NA,4,1792.16757692,1792.16757692,NA,7,NA,vegetative,0.48097587,NA,NA,3463.02623739
1,1,b'T2',NA,False,0.00000000,6.26400000,NA,5,1792.16757692,1792.16757692,NA,6,NA,vegetative,0.48097587,NA,NA,3463.02623739
1,1,b'T3',NA,False,0.00000000,6.26400000,NA,6,1792.16757692,1792.16757692,NA,5,NA,vegetative,0.48097587,NA,NA,3463.02623739
1,1,b'T4',NA,False,0.00000000,6.26400000,NA,7,1792.16757692,1792.16757692,NA,4,NA,vegetative,0.48097587,NA,NA,3463.02623739
1,1,MS,0.00000000,False,0.00000000,6.26400000,0.00084029,1,1792.16757692,1792.16757692,0.05450322,10,0.00000000,vegetative,0.48097587,0.25135991,0.77408053,3463.02623739
2,1,b'T1',NA,False,0.00000000,5.41500000,NA,4,1549.26363809,1549.26363809,NA,7,NA,vegetative,0.69615137,NA,NA,5012.28987548
2,1,b'T2',NA,False,0.00000000,5.41500000,NA,5,1549.26363809,1549.26363809,NA,6,NA,vegetative,0.69615137,NA,NA,5012.28987548
2,1,b'T3',NA,False,0.00000000,5.41500000,NA,6,1549.26363809,1549.26363809,NA,5,NA,vegetative,0.69615137,NA,NA,5012.28987548
2,1,b'T4',NA,False,0.00000000,5.41500000,NA,7,1549.26363809,1549.26363809,NA,4,NA,vegetative,0.69615137,NA,NA,5012.28987548
2,1,MS,0.00000000,False,0.00000000,5.41500000,0.00053111,1,1549.26363809,1549.26363809,0.05455915,10,0.00000000,vegetative,0.69615137,0.22601773,0.61056570,5012.28987548
3,1,b'T1',NA,False,0.00000000,6.22300000,NA,4,1780.43723358,1780.43723358,NA,7,NA,vegetative,0.94343432,NA,NA,6792.72710906
3,1,b'T2',NA,False,0.00000000,6.22300000,NA,5,1780.43723358,1780.43723358,NA,6,NA,vegetative,0.94343432,NA,NA,6792.72710906
3,1,b'T3',NA,False,0.00000000,6.22300000,NA,6,1780.43723358,1780.43723358,NA,5,NA,vegetative,0.94343432,NA,NA,6792.72710906
3,1,b'T4',NA,False,0.00000000,6.22300000,NA,7,1780.43723358,1780.43723358,NA,4,NA,vegetative,0.94343432,NA,NA,6792.72710906
3,1,MS,0.00000000,False,0.00000000,6.22300000,0.00016939,1,1780.43723358,1780.43723358,0.05462277,10,0.00000000,vegetative,0.94343432,0.23414653,0.40378311,6792.72710906
4,1,b'T1',NA,False,0.00000000,5.95700000,NA,4,1704.33305487,1704.33305487,NA,7,NA,vegetative,1.18014724,NA,NA,8497.06016393
4,1,b'T2',NA,False,0.00000000,5.95700000,NA,5,1704.33305487,1704.33305487,NA,6,NA,vegetative,1.18014724,NA,NA,8497.06016393
4,1,b'T3',NA,False,0.00000000,5.95700000,NA,6,1704.33305487,1704.33305487,NA,5,NA,vegetative,1.18014724,NA,NA,8497.06016393
4,1,b'T4',NA,False,0.00000000,5.95700000,NA,7,1704.33305487,1704.33305487,NA,4,NA,vegetative,1.18014724,NA,NA,8497.06016393
4,1,MS,0.00000000,False,0.00000000,5.95700000,0.00002729,1,1704.33305487,1704.33305487,0.05468308,10,0.00000000,vegetative,1.18014724,0.22402324,0.32165024,8497.06016393
5,1,b'T1',NA,False,0.00000000,5.73300000,NA,4,1640.24532543,1640.24532543,NA,7,NA,vegetative,1.40795910,NA,NA,10137.30548935
5,1,b'T2',NA,False,0.00000000,5.73300000,NA,5,1640.24532543,1640.24532543,NA,6,NA,vegetative,1.40795910,NA,NA,10137.30548935
5,1,b'T3',NA,False,0.00000000,5.73300000,NA,6,1640.24532543,1640.24532543,NA,5,NA,vegetative,1.40795910,NA,NA,10137.30548935
5,1,b'T4',NA,False,0.00000000,5.73300000,NA,7,1640.24532543,1640.24532543,NA,4,NA,vegetative,1.40795910,NA,NA,10137.30548935
5,1,MS,0.00000000,False,0.00000000,5.73300000,0.00000935,1,1640.24532543,1640.24532543,0.05474059,10,0.00000000,vegetative,1.40795910,0.21572281,0.30541202,10137.30548935
6,1,b'T1',NA,False,0.00000000,5.59000000,NA,4,1599.33217672,1599.33217672,NA,7,NA,vegetative,1.63008856,NA,NA,11736.63766607
6,1,b'T2',NA,False,0.00000000,5.59000000,NA,5,1599.33217672,1599.33217672,NA,6,NA,vegetative,1.63008856,NA,NA,11736.63766607
6,1,b'T3',NA,False,0.00000000,5.59000000,NA,6,1599.33217672,1599.33217672,NA,5,NA,vegetative,1.63008856,NA,NA,11736.63766607
6,1,b'T4',NA,False,0.00000000,5.59000000,NA,7,1599.33217672,1599.33217672,NA,4,NA,vegetative,1.63008856,NA,NA,11736.63766607
6,1,MS,0.00000000,False,0.00000000,5.59000000,0.00000628,1,1599.33217672,1599.33217672,0.05479619,10,0.00000000,vegetative,1.63008856,0.20970754,0.30528935,11736.63766607
7,1,b'T1',NA,False,0.00000000,5.51100000,NA,4,1576.72980785,1576.72980785,NA,7,NA,vegetative,1.84907882,NA,NA,13313.36747392
7,1,b'T2',NA,False,0.00000000,5.51100000,NA,5,1576.72980785,1576.72980785,NA,6,NA,vegetative,1.84907882,NA,NA,13313.36747392
7,1,b'T3',NA,False,0.00000000,5.51100000,NA,6,1576.72980785,1576.72980785,NA,5,NA,vegetative,1.84907882,NA,NA,13313.36747392
7,1,b'T4',NA,False,0.00000000,5.51100000,NA,7,1576.72980785,1576.72980785,NA,4,NA,vegetative,1.84907882,NA,NA,13313.36747392
7,1,MS,0.00000000,False,0.00000000,5.51100000,0.00000319,1,1576.72980785,1576.72980785,0.05485056,10,0.00000000,vegetative,1.84907882,0.20518241,0.30823174,13313.36747392
8,1,b'T1',NA,False,0.00000000,5.48000000,NA,4,1567.86052387,1567.86052387,NA,7,NA,vegetative,2.06683722,NA,NA,14881.22799779
8,1,b'T2',NA,False,0.00000000,5.48000000,NA,5,1567.86052387,1567.86052387,NA,6,NA,vegetative,2.06683722,NA,NA,14881.22799779
8,1,b'T3',NA,False,0.00000000,5.48000000,NA,6,1567.86052387,1567.86052387,NA,5,NA,vegetative,2.06683722,NA,NA,14881.22799779
8,1,b'T4',NA,False,0.00000000,5.48000000,NA,7,1567.86052387,1567.86052387,NA,4,NA,vegetative,2.06683722,NA,NA,14881.22799779
8,1,MS,0.00000000,False,0.00000000,5.48000000,0.00000319,1,1567.86052387,1567.86052387,0.05490421,10,0.00000000,vegetative,2.06683722,0.20187189,0.30759585,14881.22799779
9,1,b'T1',NA,False,0.00000000,5.45500000,NA,4,1560.70787549,1560.70787549,NA,7,NA,vegetative,2.28360220,NA,NA,16441.93587328
9,1,b'T2',NA,False,0.00000000,5.45500000,NA,5,1560.70787549,1560.70787549,NA,6,NA,vegetative,2.28360220,NA,NA,16441.93587328
9,1,b'T3',NA,False,0.00000000,5.45500000,NA,6,1560.70787549,1560.70787549,NA,5,NA,vegetative,2.28360220,NA,NA,16441.93587328
9,1,b'T4',NA,False,0.00000000,5.45500000,NA,7,1560.70787549,1560.70787549,NA,4,NA,vegetative,2.28360220,NA,NA,16441.93587328
9,1,MS,0.00000000,False,0.00000000,5.45500000,0.00000330,1,1560.70787549,1560.70787549,0.05495721,10,0.00000000,vegetative,2.28360220,0.19896363,0.31748917,16441.93587328
10,1,b'T1',NA,False,0.00000000,5.45000000,NA,4,1559.27734582,1559.27734582,NA,7,NA,vegetative,2.50016850,NA,NA,18001.21321910
10,1,b'T2',NA,False,0.00000000,5.45000000,NA,5,1559.27734582,1559.27734582,NA,6,NA,vegetative,2.50016850,NA,NA,18001.21321910
10,1,b'T3',NA,False,0.00000000,5.45000000,NA,6,1559.27734582,1559.27734582,NA,5,NA,vegetative,2.50016850,NA,NA,18001.21321910
10,1,b'T4',NA,False,0.00000000,5.45000000,NA,7,1559.27734582,1559.27734582,NA,4,NA,vegetative,2.50016850,NA,NA,18001.21321910
10,1,MS,0.00000000,False,0.00000000,5.45000000,0.00000337,1,1559.27734582,1559.27734582,0.05500977,10,0.00000000,vegetative,2.50016850,0.19654920,0.32354990,18001.21321910
11,1,b'T1',NA,False,0.00000000,5.46600000,NA,4,1563.85504078,1563.85504078,NA,7,NA,vegetative,2.71737059,NA,NA,19565.06825988
11,1,b'T2',NA,False,0.00000000,5.46600000,NA,5,1563.85504078,1563.85504078,NA,6,NA,vegetative,2.71737059,NA,NA,19565.06825988
11,1,b'T3',NA,False,0.00000000,5.46600000,NA,6,1563.85504078,1563.85504078,NA,5,NA,vegetative,2.71737059,NA,NA,19565.06825988
11,1,b'T4',NA,False,0.00000000,5.46600000,NA,7,1563.85504078,1563.85504078,NA,4,NA,vegetative,2.71737059,NA,NA,19565.06825988
11,1,MS,0.00000000,False,0.00000000,5.46600000,0.00000331,1,1563.85504078,1563.85504078,0.05506764,10,0.00000000,vegetative,2.71737059,0.19464513,0.31696938,19565.06825988
12,1,b'T1',NA,False,0.00000000,5.44500000,NA,4,1557.84681614,1557.84681614,NA,7,NA,vegetative,2.93373821,NA,NA,21122.91507602
12,1,b'T2',NA,False,0.00000000,5.44500000,NA,5,1557.84681614,1557.84681614,NA,6,NA,vegetative,2.93373821,NA,NA,21122.91507602
12,1,b'T3',NA,False,0.00000000,5.44500000,NA,6,1557.84681614,1557.84681614,NA,5,NA,vegetative,2.93373821,NA,NA,21122.91507602
12,1,b'T4',NA,False,0.00000000,5.44500000,NA,7,1557.84681614,1557.84681614,NA,4,NA,vegetative,2.93373821,NA,NA,21122.91507602
12,1,MS,0.00000000,False,0.00000000,5.44500000,0.00000697,1,1557.84681614,1557.84681614,0.05513256,10,0.00000000,vegetative,2.93373821,0.19227304,0.31441637,21122.91507602
13,1,b'T1',NA,False,0.00000000,5.38500000,NA,4,1540.68046004,1540.68046004,NA,7,NA,vegetative,3.14772160,NA,NA,22663.59553606
13,1,b'T2',NA,False,0.00000000,5.38500000,NA,5,1540.68046004,1540.68046004,NA,6,NA,vegetative,3.14772160,NA,NA,22663.59553606
13,1,b'T3',NA,False,0.00000000,5.38500000,NA,6,1540.68046004,1540.68046004,NA,5,NA,vegetative,3.14772160,NA,NA,22663.59553606
13,1,b'T4',NA,False,0.00000000,5.38500000,NA,7,1540.68046004,1540.68046004,NA,4,NA,vegetative,3.14772160,NA,NA,22663.59553606
13,1,MS,0.00000000,False,0.00000000,5.38500000,0.00001414,1,1540.68046004,1540.68046004,0.05519639,10,0.00000000,vegetative,3.14772160,0.18947006,0.31781491,22663.59553606
14,1,b'T1',NA,False,0.00000000,5.34600000,NA,4,1529.52232858,1529.52232858,NA,7,NA,vegetative,3.36015526,NA,NA,24193.11786463
14,1,b'T2',NA,False,0.00000000,5.34600000,NA,5,1529.52232858,1529.52232858,NA,6,NA,vegetative,3.36015526,NA,NA,24193.11786463
14,1,b'T3',NA,False,0.00000000,5.34600000,NA,6,1529.52232858,1529.52232858,NA,5,NA,vegetative,3.36015526,NA,NA,24193.11786463
14,1,b'T4',NA,False,0.00000000,5.34600000,NA,7,1529.52232858,1529.52232858,NA,4,NA,vegetative,3.36015526,NA,NA,24193.11786463
14,1,MS,0.01757655,False,0.00000000,5.34600000,0.00001414,1,1529.52232858,1529.52232858,0.05525938,10,0.00000000,vegetative,3.36015526,0.18707770,0.31718660,24193.11786463
15,1,b'T1',NA,False,0.00000000,5.34700000,NA,4,1529.80843451,1529.80843451,NA,7,NA,vegetative,3.57262865,NA,NA,25722.92629914
15,1,b'T2',NA,False,0.00000000,5.34700000,NA,5,1529.80843451,1529.80843451,NA,6,NA,vegetative,3.57262865,NA,NA,25722.92629914
15,1,b'T3',NA,False,0.00000000,5.34700000,NA,6,1529.80843451,1529.80843451,NA,5,NA,vegetative,3.57262865,NA,NA,25722.92629914
15,1,b'T4',NA,False,0.00000000,5.34700000,NA,7,1529.80843451,1529.80843451,NA,4,NA,vegetative,3.57262865,NA,NA,25722.92629914
15,1,MS,0.04510623,False,0.00000000,5.34700000,0.00001476,1,1529.80843451,1529.80843451,0.05532202,10,0.00000000,vegetative,3.57262865,0.18538754,0.32923827,25722.92629914
16,1,b'T1',NA,False,0.00000000,5.40100000,NA,4,1545.25815500,1545.25815500,NA,7,NA,vegetative,3.78724784,NA,NA,27268.18445415
16,1,b'T2',NA,False,0.00000000,5.40100000,NA,5,1545.25815500,1545.25815500,NA,6,NA,vegetative,3.78724784,NA,NA,27268.18445415
16,1,b'T3',NA,False,0.00000000,5.40100000,NA,6,1545.25815500,1545.25815500,NA,5,NA,vegetative,3.78724784,NA,NA,27268.18445415
16,1,b'T4',NA,False,0.00000000,5.40100000,NA,7,1545.25815500,1545.25815500,NA,4,NA,vegetative,3.78724784,NA,NA,27268.18445415
16,1,MS,0.07007735,False,0.00000000,5.40100000,0.00001897,1,1545.25815500,1545.25815500,0.05538492,10,0.00000000,vegetative,3.78724784,0.18454568,0.33715541,27268.18445415
17,1,b'T1',NA,False,0.00000000,5.48900000,NA,4,1570.43547728,1570.43547728,NA,7,NA,vegetative,4.00536388,NA,NA,28838.61993143
17,1,b'T2',NA,False,0.00000000,5.48900000,NA,5,1570.43547728,1570.43547728,NA,6,NA,vegetative,4.00536388,NA,NA,28838.61993143
17,1,b'T3',NA,False,0.00000000,5.48900000,NA,6,1570.43547728,1570.43547728,NA,5,NA,vegetative,4.00536388,NA,NA,28838.61993143
17,1,b'T4',NA,False,0.00000000,5.48900000,NA,7,1570.43547728,1570.43547728,NA,4,NA,vegetative,4.00536388,NA,NA,28838.61993143
17,1,MS,0.09275114,False,0.00000000,5.48900000,0.00001939,1,1570.43547728,1570.43547728,0.05544844,10,0.00000000,vegetative,4.00536388,0.18423682,0.34313950,28838.61993143
18,1,b'T1',NA,False,0.00000000,5.60000000,NA,4,1602.19323607,1602.19323607,NA,7,NA,vegetative,4.22789072,NA,NA,30440.81316750
18,1,b'T2',NA,False,0.00000000,5.60000000,NA,5,1602.19323607,1602.19323607,NA,6,NA,vegetative,4.22789072,NA,NA,30440.81316750
18,1,b'T3',NA,False,0.00000000,5.60000000,NA,6,1602.19323607,1602.19323607,NA,5,NA,vegetative,4.22789072,NA,NA,30440.81316750
18,1,b'T4',NA,False,0.00000000,5.60000000,NA,7,1602.19323607,1602.19323607,NA,4,NA,vegetative,4.22789072,NA,NA,30440.81316750
18,1,MS,0.11400807,False,0.00000000,5.60000000,0.00002393,1,1602.19323607,1602.19323607,0.05551285,10,0.00000000,vegetative,4.22789072,0.18428983,0.35136614,30440.81316750
19,1,b'T1',NA,False,0.00000000,5.71200000,NA,4,1634.23710079,1634.23710079,NA,7,NA,vegetative,4.45486809,NA,NA,32075.05026829
19,1,b'T2',NA,False,0.00000000,5.71200000,NA,5,1634.23710079,1634.23710079,NA,6,NA,vegetative,4.45486809,NA,NA,32075.05026829
19,1,b'T3',NA,False,0.00000000,5.71200000,NA,6,1634.23710079,1634.23710079,NA,5,NA,vegetative,4.45486809,NA,NA,32075.05026829
19,1,b'T4',NA,False,0.00000000,5.71200000,NA,7,1634.23710079,1634.23710079,NA,4,NA,vegetative,4.45486809,NA,NA,32075.05026829
19,1,MS,0.13349926,False,0.00000000,5.71200000,0.00002461,1,1634.23710079,1634.23710079,0.05557810,10,0.00000000,vegetative,4.45486809,0.18436206,0.35987942,32075.05026829
20,1,b'T1',NA,False,0.00000000,5.84000000,NA,4,1670.85866047,1670.85866047,NA,7,NA,vegetative,4.68693180,NA,NA,33745.90892876
20,1,b'T2',NA,False,0.00000000,5.84000000,NA,5,1670.85866047,1670.85866047,NA,6,NA,vegetative,4.68693180,NA,NA,33745.90892876
20,1,b'T3',NA,False,0.00000000,5.84000000,NA,6,1670.85866047,1670.85866047,NA,5,NA,vegetative,4.68693180,NA,NA,33745.90892876
20,1,b'T4',NA,False,0.00000000,5.84000000,NA,7,1670.85866047,1670.85866047,NA,4,NA,vegetative,4.68693180,NA,NA,33745.90892876
20,1,MS,0.15178777,False,0.00000000,5.84000000,0.00002972,1,1670.85866047,1670.85866047,0.05564437,10,0.00000000,vegetative,4.68693180,0.18467332,0.37078331,33745.90892876
21,1,b'T1',NA,False,0.00000000,6.00100000,NA,4,1716.92171601,1716.92171601,NA,7,NA,vegetative,4.92539315,NA,NA,35462.83064477
21,1,b'T2',NA,False,0.00000000,6.00100000,NA,5,1716.92171601,1716.92171601,NA,6,NA,vegetative,4.92539315,NA,NA,35462.83064477
21,1,b'T3',NA,False,0.00000000,6.00100000,NA,6,1716.92171601,1716.92171601,NA,5,NA,vegetative,4.92539315,NA,NA,35462.83064477
21,1,b'T4',NA,False,0.00000000,6.00100000,NA,7,1716.92171601,1716.92171601,NA,4,NA,vegetative,4.92539315,NA,NA,35462.83064477
21,1,MS,0.16840624,False,0.00000000,6.00100000,0.00003019,1,1716.92171601,1716.92171601,0.05571197,10,0.00000000,vegetative,4.92539315,0.18545791,0.47161615,35462.83064477
22,1,b'T1',NA,False,0.00000000,6.20300000,NA,4,1774.71511488,1774.71511488,NA,7,NA,vegetative,5.17188136,NA,NA,37237.54575965
22,1,b'T2',NA,False,0.00000000,6.20300000,NA,5,1774.71511488,1774.71511488,NA,6,NA,vegetative,5.17188136,NA,NA,37237.54575965
22,1,b'T3',NA,False,0.00000000,6.20300000,NA,6,1774.71511488,1774.71511488,NA,5,NA,vegetative,5.17188136,NA,NA,37237.54575965
22,1,b'T4',NA,False,0.00000000,6.20300000,NA,7,1774.71511488,1774.71511488,NA,4,NA,vegetative,5.17188136,NA,NA,37237.54575965
22,1,MS,0.19412965,False,0.00000000,6.20300000,0.00005136,1,1774.71511488,1774.71511488,0.05578133,10,0.00000000,vegetative,5.17188136,0.18685070,0.41562374,37237.54575965
23,1,b'T1',NA,False,0.00000000,6.43300000,NA,4,1840.51947993,1840.51947993,NA,7,NA,vegetative,5.42750906,NA,NA,39078.06523958
23,1,b'T2',NA,False,0.00000000,6.43300000,NA,5,1840.51947993,1840.51947993,NA,6,NA,vegetative,5.42750906,NA,NA,39078.06523958
23,1,b'T3',NA,False,0.00000000,6.43300000,NA,6,1840.51947993,1840.51947993,NA,5,NA,vegetative,5.42750906,NA,NA,39078.06523958
23,1,b'T4',NA,False,0.00000000,6.43300000,NA,7,1840.51947993,1840.51947993,NA,4,NA,vegetative,5.42750906,NA,NA,39078.06523958
23,1,MS,0.22127212,False,0.00000000,6.43300000,0.00005110,1,1840.51947993,1840.51947993,0.05585686,10,0.00000000,vegetative,5.42750906,0.18866417,0.41529588,39078.06523958
24,1,b'T1',NA,False,0.00000000,6.62600000,NA,4,1895.73792539,1895.73792539,NA,7,NA,vegetative,5.69080600,NA,NA,40973.80316497
24,1,b'T2',NA,False,0.00000000,6.62600000,NA,5,1895.73792539,1895.73792539,NA,6,NA,vegetative,5.69080600,NA,NA,40973.80316497
24,1,b'T3',NA,False,0.00000000,6.62600000,NA,6,1895.73792539,1895.73792539,NA,5,NA,vegetative,5.69080600,NA,NA,40973.80316497
24,1,b'T4',NA,False,0.00000000,6.62600000,NA,7,1895.73792539,1895.73792539,NA,4,NA,vegetative,5.69080600,NA,NA,40973.80316497
24,1,MS,0.24926185,False,0.00000000,6.62600000,0.00004103,1,1895.73792539,1895.73792539,0.05593423,10,0.00000000,vegetative,5.69080600,0.18996222,0.41267141,40973.80316497
25,1,b'T1',NA,False,0.00000000,6.77300000,NA,4,1937.79549784,1937.79549784,NA,7,NA,vegetative,5.95994426,NA,NA,42911.59866281
25,1,b'T2',NA,False,0.00000000,6.77300000,NA,5,1937.79549784,1937.79549784,NA,6,NA,vegetative,5.95994426,NA,NA,42911.59866281
25,1,b'T3',NA,False,0.00000000,6.77300000,NA,6,1937.79549784,1937.79549784,NA,5,NA,vegetative,5.95994426,NA,NA,42911.59866281
25,1,b'T4',NA,False,0.00000000,6.77300000,NA,7,1937.79549784,1937.79549784,NA,4,NA,vegetative,5.95994426,NA,NA,42911.59866281
25,1,MS,0.27945869,False,0.00000000,6.77300000,0.00005530,1,1937.79549784,1937.79549784,0.05601270,10,0.00000000,vegetative,5.95994426,0.19055908,0.42951888,42911.59866281
26,1,b'T1',NA,False,0.00000000,6.93100000,NA,4,1983.00023557,1983.00023557,NA,7,NA,vegetative,6.23536096,NA,NA,44894.59889838
26,1,b'T2',NA,False,0.00000000,6.93100000,NA,5,1983.00023557,1983.00023557,NA,6,NA,vegetative,6.23536096,NA,NA,44894.59889838
26,1,b'T3',NA,False,0.00000000,6.93100000,NA,6,1983.00023557,1983.00023557,NA,5,NA,vegetative,6.23536096,NA,NA,44894.59889838
26,1,b'T4',NA,False,0.00000000,6.93100000,NA,7,1983.00023557,1983.00023557,NA,4,NA,vegetative,6.23536096,NA,NA,44894.59889838
26,1,MS,0.31792964,False,0.00000000,6.93100000,0.00007658,1,1983.00023557,1983.00023557,0.05609236,10,0.00000000,vegetative,6.23536096,0.19141946,0.45405335,44894.59889838
27,1,b'T1',NA,False,0.00000000,7.14000000,NA,4,2042.79637599,2042.79637599,NA,7,NA,vegetative,6.51908268,NA,NA,46937.39527437
27,1,b'T2',NA,False,0.00000000,7.14000000,NA,5,2042.79637599,2042.79637599,NA,6,NA,vegetative,6.51908268,NA,NA,46937.39527437
27,1,b'T3',NA,False,0.00000000,7.14000000,NA,6,2042.79637599,2042.79637599,NA,5,NA,vegetative,6.51908268,NA,NA,46937.39527437
27,1,b'T4',NA,False,0.00000000,7.14000000,NA,7,2042.79637599,2042.79637599,NA,4,NA,vegetative,6.51908268,NA,NA,46937.39527437
27,1,MS,0.35357743,False,0.00000000,7.14000000,0.00004636,1,2042.79637599,2042.79637599,0.05618202,10,0.00000000,vegetative,6.51908268,0.19312261,0.44166006,46937.39527437
28,1,b'T1',NA,False,0.00000000,7.30500000,NA,4,2090.00385526,2090.00385526,NA,7,NA,vegetative,6.80936099,NA,NA,49027.39912963
28,1,b'T2',NA,False,0.00000000,7.30500000,NA,5,2090.00385526,2090.00385526,NA,6,NA,vegetative,6.80936099,NA,NA,49027.39912963
28,1,b'T3',NA,False,0.00000000,7.30500000,NA,6,2090.00385526,2090.00385526,NA,5,NA,vegetative,6.80936099,NA,NA,49027.39912963
28,1,b'T4',NA,False,0.00000000,7.30500000,NA,7,2090.00385526,2090.00385526,NA,4,NA,vegetative,6.80936099,NA,NA,49027.39912963
28,1,MS,0.37892038,False,0.00000000,7.30500000,0.00002776,1,2090.00385526,2090.00385526,0.05626887,10,0.00000000,vegetative,6.80936099,0.19412038,0.43888203,49027.39912963
29,1,b'T1',NA,False,0.00000000,7.42500000,NA,4,2124.33656747,2124.33656747,NA,7,NA,vegetative,7.10440774,NA,NA,51151.73569710
29,1,b'T2',NA,False,0.00000000,7.42500000,NA,5,2124.33656747,2124.33656747,NA,6,NA,vegetative,7.10440774,NA,NA,51151.73569710
29,1,b'T3',NA,False,0.00000000,7.42500000,NA,6,2124.33656747,2124.33656747,NA,5,NA,vegetative,7.10440774,NA,NA,51151.73569710
29,1,b'T4',NA,False,0.00000000,7.42500000,NA,7,2124.33656747,2124.33656747,NA,4,NA,vegetative,7.10440774,NA,NA,51151.73569710
29,1,MS,0.39031068,False,0.00000000,7.42500000,0.00002444,1,2124.33656747,2124.33656747,0.05635425,10,0.00000000,vegetative,7.10440774,0.19449661,0.42904559,51151.73569710
30,1,b'T1',NA,False,0.00000000,7.50000000,NA,4,2145.79451259,2145.79451259,NA,7,NA,vegetative,7.40243475,NA,NA,53297.53020969
30,1,b'T2',NA,False,0.00000000,7.50000000,NA,5,2145.79451259,2145.79451259,NA,6,NA,vegetative,7.40243475,NA,NA,53297.53020969
30,1,b'T3',NA,False,0.00000000,7.50000000,NA,6,2145.79451259,2145.79451259,NA,5,NA,vegetative,7.40243475,NA,NA,53297.53020969
30,1,b'T4',NA,False,0.00000000,7.50000000,NA,7,2145.79451259,2145.79451259,NA,4,NA,vegetative,7.40243475,NA,NA,53297.53020969
30,1,MS,0.38908864,False,0.00000000,7.50000000,0.00002462,1,2145.79451259,2145.79451259,0.05643985,10,0.00000000,vegetative,7.40243475,0.19417225,0.42770497,53297.53020969
31,1,b'T1',NA,False,0.00000000,7.57000000,NA,4,2165.82192804,2165.82192804,NA,7,NA,vegetative,7.70324335,NA,NA,55463.35213773
31,1,b'T2',NA,False,0.00000000,7.57000000,NA,5,2165.82192804,2165.82192804,NA,6,NA,vegetative,7.70324335,NA,NA,55463.35213773
31,1,b'T3',NA,False,0.00000000,7.57000000,NA,6,2165.82192804,2165.82192804,NA,5,NA,vegetative,7.70324335,NA,NA,55463.35213773
31,1,b'T4',NA,False,0.00000000,7.57000000,NA,7,2165.82192804,2165.82192804,NA,4,NA,vegetative,7.70324335,NA,NA,55463.35213773
31,1,MS,0.38205737,False,0.00000000,7.57000000,0.00003917,1,2165.82192804,2165.82192804,0.05652557,10,0.00000000,vegetative,7.70324335,0.19372189,0.42051833,55463.35213773
32,1,b'T1',NA,False,0.00000000,7.53500000,NA,4,2155.80822032,2155.80822032,NA,7,NA,vegetative,8.00266116,NA,NA,57619.16035805
32,1,b'T2',NA,False,0.00000000,7.53500000,NA,5,2155.80822032,2155.80822032,NA,6,NA,vegetative,8.00266116,NA,NA,57619.16035805
32,1,b'T3',NA,False,0.00000000,7.53500000,NA,6,2155.80822032,2155.80822032,NA,5,NA,vegetative,8.00266116,NA,NA,57619.16035805
32,1,b'T4',NA,False,0.00000000,7.53500000,NA,7,2155.80822032,2155.80822032,NA,4,NA,vegetative,8.00266116,NA,NA,57619.16035805
32,1,MS,0.37688730,False,0.00000000,7.53500000,0.00005001,1,2155.80822032,2155.80822032,0.05661016,10,0.00000000,vegetative,8.00266116,0.19163670,0.42497636,57619.16035805
33,1,b'T1',NA,False,0.00000000,7.59000000,NA,4,2171.54404674,2171.54404674,NA,7,NA,vegetative,8.30426450,NA,NA,59790.70440479
33,1,b'T2',NA,False,0.00000000,7.59000000,NA,5,2171.54404674,2171.54404674,NA,6,NA,vegetative,8.30426450,NA,NA,59790.70440479
33,1,b'T3',NA,False,0.00000000,7.59000000,NA,6,2171.54404674,2171.54404674,NA,5,NA,vegetative,8.30426450,NA,NA,59790.70440479
33,1,b'T4',NA,False,0.00000000,7.59000000,NA,7,2171.54404674,2171.54404674,NA,4,NA,vegetative,8.30426450,NA,NA,59790.70440479
33,1,MS,0.36355356,False,0.00000000,7.59000000,0.00005811,1,2171.54404674,2171.54404674,0.05669461,10,0.00000000,vegetative,8.30426450,0.19085938,0.40744936,59790.70440479
34,1,b'T1',NA,False,0.00000000,7.52000000,NA,4,2151.51663129,2151.51663129,NA,7,NA,vegetative,8.60308626,NA,NA,61942.22103608
34,1,b'T2',NA,False,0.00000000,7.52000000,NA,5,2151.51663129,2151.51663129,NA,6,NA,vegetative,8.60308626,NA,NA,61942.22103608
34,1,b'T3',NA,False,0.00000000,7.52000000,NA,6,2151.51663129,2151.51663129,NA,5,NA,vegetative,8.60308626,NA,NA,61942.22103608
