t,plant,axis,Conc_Nitrates_Soil,Tsoil,mineralisation,nitrates,volume
115,1,MS,424764.49807422,1.65800000,0.00164357,424764.49807422,1
116,1,MS,424734.63316057,1.68000000,0.00164674,424734.63316057,1
117,1,MS,424704.71975552,1.70000000,0.00164963,424704.71975552,1
118,1,MS,424674.57961146,1.76500000,0.00165904,424674.57961146,1
119,1,MS,424643.75985613,1.95000000,0.00168610,424643.75985613,1
120,1,MS,424611.38892316,2.39800000,0.00175331,424611.38892316,1
121,1,MS,424576.92661808,2.99000000,0.00184589,424576.92661808,1
122,1,MS,424540.81010994,3.39700000,0.00191211,424540.81010994,1
123,1,MS,424503.31187655,3.69100000,0.00196129,424503.31187655,1
124,1,MS,424465.17309332,3.78200000,0.00197674,424465.17309332,1
125,1,MS,424427.13507572,3.66400000,0.00195672,424427.13507572,1
126,1,MS,424389.50262782,3.47600000,0.00192521,424389.50262782,1
127,1,MS,424352.68094305,3.17700000,0.00187605,424352.68094305,1
128,1,MS,424317.11422999,2.72900000,0.00180453,424317.11422999,1
129,1,MS,424282.16511250,2.48900000,0.00176726,424282.16511250,1
130,1,MS,424247.29813795,2.43800000,0.00175943,424247.29813795,1
131,1,MS,424212.48130652,2.41200000,0.00175545,424212.48130652,1
132,1,MS,424177.82448158,2.35900000,0.00174736,424177.82448158,1
133,1,MS,424143.36297834,2.30300000,0.00173885,424143.36297834,1
134,1,MS,424109.69869110,2.04600000,0.00170030,424109.69869110,1
135,1,MS,424076.71371110,1.82700000,0.00166806,424076.71371110,1
136,1,MS,424044.04451392,1.73300000,0.00165440,424044.04451392,1
137,1,MS,424011.63683141,1.66000000,0.00164386,424011.63683141,1
138,1,MS,423979.47562961,1.59700000,0.00163481,423979.47562961,1
139,1,MS,423947.57971509,1.53100000,0.00162538,423947.57971509,1
140,1,MS,423915.95496441,1.46600000,0.00161615,423915.95496441,1
141,1,MS,423884.57951902,1.39300000,0.00160583,423884.57951902,1
142,1,MS,423853.20568672,1.34700000,0.00159936,423853.20568672,1
143,1,MS,423821.47326902,1.33000000,0.00159697,423821.47326902,1
144,1,MS,423789.07392996,1.34000000,0.00159838,423789.07392996,1
145,1,MS,423755.50310147,1.49800000,0.00162069,423755.50310147,1
146,1,MS,423720.41662555,1.75700000,0.00165788,423720.41662555,1
147,1,MS,423683.53886228,2.08500000,0.00170610,423683.53886228,1
148,1,MS,423645.83960367,2.13100000,0.00171296,423645.83960367,1
149,1,MS,423608.38166632,1.90200000,0.00167904,423608.38166632,1
150,1,MS,423571.35268759,1.63700000,0.00164055,423571.35268759,1
151,1,MS,423534.40022090,1.51200000,0.00162268,423534.40022090,1
152,1,MS,423497.36620077,1.45400000,0.00161445,423497.36620077,1
153,1,MS,423460.27908068,1.40700000,0.00160780,423460.27908068,1
154,1,MS,423423.14145533,1.37700000,0.00160358,423423.14145533,1
155,1,MS,423385.94090681,1.36200000,0.00160147,423385.94090681,1
156,1,MS,423348.66500318,1.36400000,0.00160175,423348.66500318,1
157,1,MS,423311.31126755,1.37900000,0.00160386,423311.31126755,1
158,1,MS,423273.87372048,1.40800000,0.00160794,423273.87372048,1
159,1,MS,423236.26492374,1.47400000,0.00161728,423236.26492374,1
160,1,MS,423198.37205587,1.58400000,0.00163295,423198.37205587,1
161,1,MS,423160.21305331,1.69700000,0.00164919,423160.21305331,1
162,1,MS,423121.71605215,1.84000000,0.00166996,423121.71605215,1
163,1,MS,423083.19645151,1.89600000,0.00167816,423083.19645151,1
164,1,MS,423045.56915387,1.67700000,0.00164631,423045.56915387,1
165,1,MS,423008.77257376,1.45900000,0.00161515,423008.77257376,1
166,1,MS,422972.01614958,1.43000000,0.00161105,422972.01614958,1
167,1,MS,422933.54622952,1.86200000,0.00167318,422933.54622952,1
168,1,MS,422892.07619036,2.57100000,0.00177991,422892.07619036,1
169,1,MS,422846.86325876,3.34600000,0.00190369,422846.86325876,1
170,1,MS,422797.81952298,4.05000000,0.00202291,422797.81952298,1
171,1,MS,422747.04625584,4.23300000,0.00205500,422747.04625584,1
172,1,MS,422696.52370510,4.01600000,0.00201700,422696.52370510,1
173,1,MS,422647.36513514,3.58000000,0.00194258,422647.36513514,1
174,1,MS,422599.98637733,3.06500000,0.00185793,422599.98637733,1
175,1,MS,422553.22538009,2.84500000,0.00182281,422553.22538009,1
176,1,MS,422506.20113521,2.86500000,0.00182597,422506.20113521,1
177,1,MS,422458.65821892,2.97000000,0.00184269,422458.65821892,1
178,1,MS,422410.63438011,3.08500000,0.00186115,422410.63438011,1
179,1,MS,422362.26324912,3.18700000,0.00187767,422362.26324912,1
180,1,MS,422313.60167095,3.29000000,0.00189449,422313.60167095,1
181,1,MS,422264.58131469,3.42200000,0.00191624,422264.58131469,1
182,1,MS,422215.04227530,3.60300000,0.00194645,422215.04227530,1
183,1,MS,422164.92413926,3.80800000,0.00198118,422164.92413926,1
184,1,MS,422114.53951137,3.94900000,0.00200540,422114.53951137,1
185,1,MS,422063.99768004,4.07200000,0.00202674,422063.99768004,1
186,1,MS,422013.24820889,4.21300000,0.00205147,422013.24820889,1
187,1,MS,421962.30516292,4.35800000,0.00207719,421962.30516292,1
188,1,MS,421911.29626143,4.47900000,0.00209887,421911.29626143,1
189,1,MS,421860.16225870,4.61700000,0.00212386,421860.16225870,1
190,1,MS,421808.64462205,4.80800000,0.00215889,421808.64462205,1
191,1,MS,421756.23793394,5.09300000,0.00221214,421756.23793394,1
192,1,MS,421702.58544134,5.42900000,0.00227646,421702.58544134,1
193,1,MS,421647.03431543,5.86500000,0.00236248,421647.03431543,1
194,1,MS,421589.55098400,6.27200000,0.00244544,421589.55098400,1
195,1,MS,421530.94188719,6.50600000,0.00249434,421530.94188719,1
196,1,MS,421471.63696267,6.65400000,0.00252573,421471.63696267,1
197,1,MS,421412.32199749,6.68800000,0.00253299,421412.32199749,1
198,1,MS,421353.27390787,6.68500000,0.00253235,421353.27390787,1
199,1,MS,421294.53085176,6.68400000,0.00253213,421294.53085176,1
200,1,MS,421236.21763949,6.66800000,0.00252871,421236.21763949,1
201,1,MS,421178.41190927,6.64600000,0.00252402,421178.41190927,1
202,1,MS,421121.07221185,6.64300000,0.00252338,421121.07221185,1
203,1,MS,421063.85860862,6.72200000,0.00254027,421063.85860862,1
204,1,MS,421006.82620476,6.80000000,0.00255704,421006.82620476,1
205,1,MS,420950.08829623,6.86200000,0.00257045,420950.08829623,1
206,1,MS,420893.74772104,6.91000000,0.00258087,420893.74772104,1
207,1,MS,420837.82446601,6.96300000,0.00259242,420837.82446601,1
208,1,MS,420782.27160568,7.03500000,0.00260819,420782.27160568,1
209,1,MS,420727.30787629,7.06500000,0.00261479,420727.30787629,1
210,1,MS,420672.92183451,7.10000000,0.00262250,420672.92183451,1
211,1,MS,420619.13375367,7.13500000,0.00263024,420619.13375367,1
212,1,MS,420566.31119997,7.09000000,0.00262030,420566.31119997,1
213,1,MS,420514.86120260,6.94600000,0.00258871,420514.86120260,1
214,1,MS,420464.60097572,6.83200000,0.00256395,420464.60097572,1
215,1,MS,420414.99326508,6.83000000,0.00256352,420414.99326508,1
216,1,MS,420365.77854602,6.87100000,0.00257240,420365.77854602,1
217,1,MS,420316.93496455,6.89600000,0.00257782,420316.93496455,1
218,1,MS,420268.43718850,6.89500000,0.00257761,420268.43718850,1
219,1,MS,420219.86059876,7.00700000,0.00260205,420219.86059876,1
220,1,MS,420170.86666021,7.20000000,0.00264466,420170.86666021,1
221,1,MS,420121.72702455,7.33500000,0.00267485,420121.72702455,1
222,1,MS,420072.46559412,7.47500000,0.00270648,420072.46559412,1
223,1,MS,420023.33290222,7.56500000,0.00272700,420023.33290222,1
224,1,MS,419974.84573475,7.54000000,0.00272129,419974.84573475,1
225,1,MS,419927.04253621,7.51000000,0.00271444,419927.04253621,1
226,1,MS,419879.69000209,7.54500000,0.00272243,419879.69000209,1
227,1,MS,419832.68841811,7.61500000,0.00273846,419832.68841811,1
228,1,MS,419785.82003567,7.74500000,0.00276846,419785.82003567,1
229,1,MS,419738.96125362,7.92500000,0.00281049,419738.96125362,1
230,1,MS,419692.31325168,8.07000000,0.00284478,419692.31325168,1
231,1,MS,419646.07553606,8.17500000,0.00286984,419646.07553606,1
232,1,MS,419600.38710596,8.26000000,0.00289028,419600.38710596,1
233,1,MS,419555.76118336,8.21500000,0.00287945,419555.76118336,1
234,1,MS,419512.58518577,8.05500000,0.00284122,419512.58518577,1
235,1,MS,419470.94743397,7.85000000,0.00279291,419470.94743397,1
236,1,MS,419430.30108778,7.78500000,0.00277775,419430.30108778,1
237,1,MS,419389.71483122,7.99000000,0.00282582,419389.71483122,1
238,1,MS,419349.72812331,8.02500000,0.00283410,419349.72812331,1
239,1,MS,419310.36633625,7.97500000,0.00282227,419310.36633625,1
240,1,MS,419270.53113057,8.15500000,0.00286505,419270.53113057,1
241,1,MS,419229.87021228,8.38000000,0.00291936,419229.87021228,1
242,1,MS,419188.80892666,8.43500000,0.00293278,419188.80892666,1
243,1,MS,419147.64233433,8.39500000,0.00292301,419147.64233433,1
244,1,MS,419106.69411233,8.29500000,0.00289874,419106.69411233,1
245,1,MS,419065.94844566,8.21500000,0.00287945,419065.94844566,1
246,1,MS,419025.21703879,8.23500000,0.00288426,419025.21703879,1
247,1,MS,418984.46705883,8.30000000,0.00289995,418984.46705883,1
248,1,MS,418943.88549798,8.35000000,0.00291207,418943.88549798,1
249,1,MS,418903.49748089,8.42000000,0.00292911,418903.49748089,1
250,1,MS,418863.68530272,8.40000000,0.00292423,418863.68530272,1
251,1,MS,418824.41662743,8.39500000,0.00292301,418824.41662743,1
252,1,MS,418785.57466099,8.45000000,0.00293645,418785.57466099,1
253,1,MS,418747.62921754,8.36000000,0.00291450,418747.62921754,1
254,1,MS,418710.89444184,8.15500000,0.00286505,418710.89444184,1
255,1,MS,418675.02657336,8.06500000,0.00284359,418675.02657336,1
256,1,MS,418639.81442846,8.04500000,0.00283884,418639.81442846,1
257,1,MS,418605.10001643,8.08500000,0.00284835,418605.10001643,1
258,1,MS,418570.90104512,8.13500000,0.00286027,418570.90104512,1
259,1,MS,418537.56485562,8.07500000,0.00284597,418537.56485562,1
260,1,MS,418505.56822824,7.82000000,0.00278590,418505.56822824,1
261,1,MS,418474.80105164,7.58000000,0.00273043,418474.80105164,1
262,1,MS,418444.98043269,7.42500000,0.00269514,418444.98043269,1
263,1,MS,418415.89964986,7.32000000,0.00267148,418415.89964986,1
264,1,MS,418387.20177568,7.31500000,0.00267035,418387.20177568,1
265,1,MS,418358.67718175,7.36000000,0.00268047,418358.67718175,1
266,1,MS,418330.58203995,7.26500000,0.00265916,418330.58203995,1
267,1,MS,418302.80520680,7.18500000,0.00264133,418302.80520680,1
268,1,MS,418275.48549251,7.02900000,0.00260687,418275.48549251,1
269,1,MS,418248.82652752,6.77900000,0.00255251,418248.82652752,1
270,1,MS,418223.00637599,6.43900000,0.00248025,418223.00637599,1
271,1,MS,418198.24315749,5.98700000,0.00238707,418198.24315749,1
272,1,MS,418174.42356146,5.57100000,0.00230415,418174.42356146,1
273,1,MS,418151.29136549,5.26600000,0.00224505,418151.29136549,1
274,1,MS,418128.32108888,5.23500000,0.00223912,418128.32108888,1
275,1,MS,418105.21331069,5.37400000,0.00226582,418105.21331069,1
276,1,MS,418082.07765602,5.47100000,0.00228462,418082.07765602,1
277,1,MS,418059.05883657,5.50400000,0.00229105,418059.05883657,1
278,1,MS,418036.27495211,5.49500000,0.00228929,418036.27495211,1
279,1,MS,418013.82775232,5.43700000,0.00227801,418013.82775232,1
280,1,MS,417991.77564375,5.35000000,0.00226118,417991.77564375,1
281,1,MS,417970.11882501,5.26200000,0.00224428,417970.11882501,1
282,1,MS,417948.79707853,5.20800000,0.00223396,417948.79707853,1
283,1,MS,417927.82969873,5.14400000,0.00222179,417927.82969873,1
284,1,MS,417907.31001524,5.02300000,0.00219895,417907.31001524,1
285,1,MS,417887.20853993,4.90800000,0.00217744,417887.20853993,1
286,1,MS,417867.18581774,4.94500000,0.00218434,417867.18581774,1
287,1,MS,417846.77868652,5.16200000,0.00222521,417846.77868652,1
288,1,MS,417825.41714710,5.59900000,0.00230965,417825.41714710,1
289,1,MS,417802.72381614,6.05400000,0.00240068,417802.72381614,1
290,1,MS,417778.18946403,6.54600000,0.00250279,417778.18946403,1
291,1,MS,417752.03486298,6.81500000,0.00256028,417752.03486298,1
292,1,MS,417724.96154583,6.74700000,0.00254563,417724.96154583,1
293,1,MS,417697.49910825,6.53300000,0.00250004,417697.49910825,1
294,1,MS,417669.84505241,6.28700000,0.00244855,417669.84505241,1
295,1,MS,417642.06495568,6.09100000,0.00240822,417642.06495568,1
296,1,MS,417614.14949470,5.95300000,0.00238019,417614.14949470,1
297,1,MS,417586.12411371,5.84100000,0.00235767,417586.12411371,1
298,1,MS,417558.05551753,5.74000000,0.00233752,417558.05551753,1
299,1,MS,417529.97942215,5.66300000,0.00232226,417529.97942215,1
300,1,MS,417502.02742652,5.56200000,0.00230239,417502.02742652,1
301,1,MS,417474.42027735,5.39500000,0.00226987,417474.42027735,1
302,1,MS,417447.15308667,5.24100000,0.00224026,417447.15308667,1
303,1,MS,417420.07764061,5.16300000,0.00222540,417420.07764061,1
304,1,MS,417393.01885599,5.17700000,0.00222806,417393.01885599,1
305,1,MS,417365.87587465,5.24200000,0.00224045,417365.87587465,1
306,1,MS,417338.43306734,5.42900000,0.00227646,417338.43306734,1
307,1,MS,417310.67016703,5.64100000,0.00231792,417310.67016703,1
308,1,MS,417282.74847667,5.80400000,0.00235027,417282.74847667,1
309,1,MS,417254.67393764,5.96700000,0.00238302,417254.67393764,1
310,1,MS,417226.30414082,6.17600000,0.00242564,417226.30414082,1
311,1,MS,417197.49744406,6.40800000,0.00247375,417197.49744406,1
312,1,MS,417168.11099928,6.67100000,0.00252935,417168.11099928,1
313,1,MS,417138.17573676,6.88400000,0.00257522,417138.17573676,1
314,1,MS,417107.65995050,7.05000000,0.00261149,417107.65995050,1
315,1,MS,417076.69474769,7.13000000,0.00262913,417076.69474769,1
316,1,MS,417045.65994386,7.09000000,0.00262030,417045.65994386,1
317,1,MS,417014.65908350,7.02500000,0.00260600,417014.65908350,1
318,1,MS,416983.76810262,6.95700000,0.00259111,416983.76810262,1
319,1,MS,416953.04241059,6.89600000,0.00257782,416953.04241059,1
320,1,MS,416922.55836476,6.82900000,0.00256330,416922.55836476,1
321,1,MS,416892.27416179,6.80500000,0.00255812,416892.27416179,1
322,1,MS,416862.25186458,6.77700000,0.00255208,416862.25186458,1
323,1,MS,416832.34948863,6.83300000,0.00256417,416832.34948863,1
324,1,MS,416802.46512763,6.94900000,0.00258936,416802.46512763,1
325,1,MS,416772.62022816,7.07500000,0.00261699,416772.62022816,1
326,1,MS,416742.98967038,7.15000000,0.00263356,416742.98967038,1
327,1,MS,416713.68233652,7.19000000,0.00264244,416713.68233652,1
328,1,MS,416684.73693674,7.22000000,0.00264911,416684.73693674,1
329,1,MS,416656.20374228,7.23500000,0.00265246,416656.20374228,1
330,1,MS,416628.13056555,7.23000000,0.00265134,416628.13056555,1
331,1,MS,416600.58889908,7.19500000,0.00264355,416600.58889908,1
332,1,MS,416573.55396402,7.17000000,0.00263800,416573.55396402,1
333,1,MS,416547.04794726,7.13000000,0.00262913,416547.04794726,1
334,1,MS,416520.89715401,7.14500000,0.00263245,416520.89715401,1
335,1,MS,416494.81419281,7.24000000,0.00265357,416494.81419281,1
336,1,MS,416468.29743585,7.49500000,0.00271103,416468.29743585,1
337,1,MS,416441.29583339,7.70500000,0.00275920,416441.29583339,1
338,1,MS,416413.72791007,7.83500000,0.00278940,416413.72791007,1
339,1,MS,416385.19334329,8.02000000,0.00283291,416385.19334329,1
340,1,MS,416355.94620986,8.01000000,0.00283055,416355.94620986,1
341,1,MS,416326.51514243,7.76500000,0.00277310,416326.51514243,1
342,1,MS,416297.03194085,7.51000000,0.00271444,416297.03194085,1
343,1,MS,416267.35010369,7.35000000,0.00267822,416267.35010369,1
344,1,MS,416237.40245349,7.27000000,0.00266027,416237.40245349,1
345,1,MS,416207.47529340,7.12500000,0.00262803,416207.47529340,1
346,1,MS,416177.79263822,6.92300000,0.00258370,416177.79263822,1
347,1,MS,416148.10547671,6.86000000,0.00257001,416148.10547671,1
348,1,MS,416118.35778894,6.85900000,0.00256980,416118.35778894,1
349,1,MS,416088.78305324,6.79700000,0.00255639,416088.78305324,1
350,1,MS,416059.66504083,6.63900000,0.00252253,416059.66504083,1
351,1,MS,416030.90185637,6.53800000,0.00250110,416030.90185637,1
352,1,MS,416002.42479985,6.48500000,0.00248991,416002.42479985,1
353,1,MS,415974.57978612,6.29700000,0.00245062,415974.57978612,1
354,1,MS,415947.73619698,5.94300000,0.00237817,415947.73619698,1
355,1,MS,415921.73346673,5.64600000,0.00231891,415921.73346673,1
356,1,MS,415896.39503491,5.42100000,0.00227491,415896.39503491,1
357,1,MS,415871.85187245,5.10400000,0.00221422,415871.85187245,1
358,1,MS,415847.18374779,5.15200000,0.00222331,415847.18374779,1
359,1,MS,415821.05969075,5.72100000,0.00233374,415821.05969075,1
360,1,MS,415792.79057146,6.47700000,0.00248823,415792.79057146,1
361,1,MS,415762.67126448,7.00300000,0.00260117,415762.67126448,1
362,1,MS,415730.68193461,7.36500000,0.00268160,415730.68193461,1
363,1,MS,415696.66918066,7.60500000,0.00273616,415696.66918066,1
364,1,MS,415661.53676455,7.49500000,0.00271103,415661.53676455,1
365,1,MS,415626.40290427,7.05700000,0.00261303,415626.40290427,1
366,1,MS,415591.64123042,6.54900000,0.00250342,415591.64123042,1
367,1,MS,415557.07656400,6.15000000,0.00242030,415557.07656400,1
368,1,MS,415522.34553391,5.95900000,0.00238141,415522.34553391,1
369,1,MS,415487.61180565,5.76800000,0.00234309,415487.61180565,1
370,1,MS,415452.83028368,5.64500000,0.00231871,415452.83028368,1
371,1,MS,415418.00062724,5.56400000,0.00230278,415418.00062724,1
372,1,MS,415383.16819293,5.51500000,0.00229320,415383.16819293,1
373,1,MS,415348.18200266,5.53900000,0.00229789,415348.18200266,1
374,1,MS,415313.09532996,5.57700000,0.00230533,415313.09532996,1
375,1,MS,415277.78298620,5.67900000,0.00232542,415277.78298620,1
376,1,MS,415242.19736231,5.82500000,0.00235446,415242.19736231,1
377,1,MS,415206.53562831,5.92400000,0.00237434,415206.53562831,1
378,1,MS,415170.88994189,6.01700000,0.00239315,415170.88994189,1
379,1,MS,415135.48014707,6.05100000,0.00240007,415135.48014707,1
380,1,MS,415100.40347824,6.06700000,0.00240333,415100.40347824,1
381,1,MS,415065.57059959,6.12700000,0.00241558,415065.57059959,1
382,1,MS,415030.86120898,6.22400000,0.00243552,415030.86120898,1
383,1,MS,414996.04333452,6.39100000,0.00247020,414996.04333452,1
384,1,MS,414960.84128309,6.62100000,0.00251870,414960.84128309,1
385,1,MS,414924.73679422,6.94900000,0.00258936,414924.73679422,1
386,1,MS,414887.24725057,7.33000000,0.00267372,414887.24725057,1
387,1,MS,414848.86365428,7.44000000,0.00269854,414848.86365428,1
388,1,MS,414810.13652570,7.34000000,0.00267597,414810.13652570,1
389,1,MS,414771.56876020,7.08500000,0.00261919,414771.56876020,1
390,1,MS,414732.95321156,6.95000000,0.00258958,414732.95321156,1
391,1,MS,414695.41323757,6.50800000,0.00249476,414695.41323757,1
392,1,MS,414658.78618259,6.12500000,0.00241517,414658.78618259,1
393,1,MS,414623.16009896,5.72000000,0.00233355,414623.16009896,1
394,1,MS,414588.29090005,5.40300000,0.00227142,414588.29090005,1
395,1,MS,414553.74038681,5.24600000,0.00224122,414553.74038681,1
396,1,MS,414519.61434920,5.07600000,0.00220893,414519.61434920,1
397,1,MS,414486.06021200,4.86300000,0.00216907,414486.06021200,1
398,1,MS,414453.24761296,4.59800000,0.00212040,414453.24761296,1
399,1,MS,414421.08338818,4.36300000,0.00207808,414421.08338818,1
400,1,MS,414389.17667212,4.28200000,0.00206367,414389.17667212,1
401,1,MS,414357.26012743,4.31700000,0.00206989,414357.26012743,1
402,1,MS,414324.94312235,4.50600000,0.00210374,414324.94312235,1
403,1,MS,414291.93557809,4.82500000,0.00216203,414291.93557809,1
404,1,MS,414258.34678291,5.12800000,0.00221876,414258.34678291,1
405,1,MS,414224.01531582,5.50900000,0.00229203,414224.01531582,1
406,1,MS,414188.75057435,5.95500000,0.00238060,414188.75057435,1
407,1,MS,414152.22841777,6.48500000,0.00248991,414152.22841777,1
408,1,MS,414114.04989303,7.02900000,0.00260687,414114.04989303,1
409,1,MS,414074.54665336,7.37500000,0.00268385,414074.54665336,1
410,1,MS,414034.82637376,7.32000000,0.00267148,414034.82637376,1
411,1,MS,413995.05426145,7.12000000,0.00262692,413995.05426145,1
412,1,MS,413955.12807978,6.89500000,0.00257761,413955.12807978,1
413,1,MS,413915.36550458,6.56800000,0.00250744,413915.36550458,1
414,1,MS,413876.13770102,6.17500000,0.00242543,413876.13770102,1
415,1,MS,413836.88627092,5.99700000,0.00238910,413836.88627092,1
416,1,MS,413797.18518466,5.98400000,0.00238646,413797.18518466,1
417,1,MS,413756.89972719,6.05600000,0.00240109,413756.89972719,1
418,1,MS,413716.16215116,6.13700000,0.00241763,413716.16215116,1
419,1,MS,413675.04364002,6.23400000,0.00243758,413675.04364002,1
420,1,MS,413633.57111782,6.35500000,0.00246268,413633.57111782,1
421,1,MS,413591.68414383,6.52500000,0.00249835,413591.68414383,1
422,1,MS,413549.12630155,6.79700000,0.00255639,413549.12630155,1
423,1,MS,413505.71869582,7.14500000,0.00263245,413505.71869582,1
424,1,MS,413461.40039636,7.53500000,0.00272014,413461.40039636,1
425,1,MS,413416.00160274,8.00000000,0.00282818,413416.00160274,1
426,1,MS,413369.68629933,8.45500000,0.00293767,413369.68629933,1
427,1,MS,413323.30276750,8.71000000,0.00300071,413323.30276750,1
428,1,MS,413277.21780061,8.88500000,0.00304469,413277.21780061,1
