t,plant,axis,organ,AA_consumption_mstruct,C_exudation,Export_Amino_Acids,Export_Nitrates,Export_cytokinins,HATS_LATS,N_exudation,Nstruct,RGR_Structure,R_Nnit_red,R_Nnit_upt,R_grain_growth_starch,R_grain_growth_struct,R_min_upt,R_residual,Respi_growth,S_Amino_Acids,S_Proteins,S_cytokinins,S_grain_starch,S_grain_structure,Total_Organic_Nitrogen,Unloading_Amino_Acids,Unloading_Sucrose,Uptake_Nitrates,age_from_flowering,amino_acids,cytokinins,delta_mstruct_growth,mstruct,nitrates,proteins,rate_mstruct_death,regul_transpiration,senesced_mstruct,starch,structure,sucrose,sucrose_consumption_mstruct,sum_respi
0,1,MS,phloem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00000000,NA,NA
0,1,MS,roots,0.02002061,NA,NA,NA,NA,NA,NA,0.00017248,NA,NA,NA,NA,NA,NA,NA,0.69137825,NA,NA,NA,NA,NA,14.49031944,NA,NA,NA,NA,2.17051312,8.60000000,0.00005606,0.03445606,21.90533730,NA,0.00000000,NA,0.00000000,NA,NA,199.88574592,2.00766633,NA
1,1,MS,phloem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.02508177,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,93.75270923,NA,NA
1,1,MS,roots,0.02147097,0.00000000,0.26020351,0.32997758,0.04339775,1.07597666,0.00000000,0.00017278,NA,0.07588903,0.10817125,NA,NA,NA,0.06221560,0.74146433,1.11042982,NA,0.98153438,NA,NA,14.25275612,0.00000000,-453.49117294,0.27247167,NA,1.91147883,8.59052272,0.00006012,0.03451618,21.81640953,NA,0.00000000,0.00084029,0.00000000,NA,NA,176.44126038,2.15310934,0.24627588
2,1,MS,phloem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.70819292,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,125.45931397,NA,NA
2,1,MS,roots,0.01827978,0.00000000,0.15241084,0.20858115,0.02744263,1.00361364,0.00000000,0.00017303,NA,0.07029169,0.09572337,NA,NA,NA,0.05639964,0.63126185,1.02700512,NA,0.90957253,NA,NA,14.13096480,0.00000000,-284.67301662,0.24111679,NA,1.77140772,8.59457710,0.00005118,0.03456736,21.81826704,NA,0.00000000,0.00053111,0.00000000,NA,NA,161.59305215,1.83309668,0.22241470
3,1,MS,phloem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.04841875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,144.69730263,NA,NA
3,1,MS,roots,0.02073448,0.00000000,0.04776825,0.06697050,0.00877789,1.07269355,0.00000000,0.00017332,NA,0.07503523,0.09804399,NA,NA,NA,0.05802983,0.71603085,1.09447300,NA,0.97078300,NA,NA,14.12103000,0.00000000,-185.27873153,0.24696220,NA,1.74073844,8.61946054,0.00005806,0.03462542,21.96444393,NA,0.00000000,0.00016939,0.00000000,NA,NA,150.90782897,2.07925406,0.23110906
4,1,MS,phloem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.22043816,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,155.27691637,NA,NA
4,1,MS,roots,0.01962186,0.00000000,0.00773907,0.01088212,0.00141941,1.04493070,0.00000000,0.00017360,NA,0.07315982,0.09215672,NA,NA,NA,0.05601443,0.67760836,1.06542747,NA,0.94598272,NA,NA,14.15035183,0.00000000,-130.40449988,0.23213278,NA,1.75043841,8.65088129,0.00005494,0.03468036,22.15204242,NA,0.00000000,0.00002729,0.00000000,NA,NA,142.72917199,1.96768049,0.22133097
5,1,MS,phloem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.29815018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,160.98495500,NA,NA
5,1,MS,roots,0.01868792,0.00000000,0.00267522,0.00376076,0.00048830,1.02150425,0.00000000,0.00017386,NA,0.07161217,0.08735297,NA,NA,NA,0.05448330,0.64535604,1.04131788,NA,0.92509368,NA,NA,14.18390538,0.00000000,-95.71348921,0.22003268,NA,1.76530404,8.68255017,0.00005233,0.03473268,22.33461167,NA,0.00000000,0.00000935,0.00000000,NA,NA,136.16793538,1.87402424,0.21344845
6,1,MS,phloem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.32438643,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,164.34184939,NA,NA
6,1,MS,roots,0.01804636,0.00000000,0.00181320,0.00254603,0.00032920,1.00564723,0.00000000,0.00017411,NA,0.07059941,0.08366127,NA,NA,NA,0.05337934,0.62320105,1.02509982,NA,0.91086175,NA,NA,14.21779667,0.00000000,-71.19701873,0.21073368,NA,1.78114897,8.71392733,0.00005053,0.03478321,22.50920849,NA,0.00000000,0.00000628,0.00000000,NA,NA,130.67453285,1.80968924,0.20764002
7,1,MS,phloem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.31742961,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,166.33291858,NA,NA
7,1,MS,roots,0.01762889,0.00000000,0.00092846,0.00130117,0.00016759,0.99557193,0.00000000,0.00017436,NA,0.06999581,0.08077967,NA,NA,NA,0.05258565,0.60878425,1.01489532,NA,0.90169808,NA,NA,14.25225188,0.00000000,-53.13156946,0.20347525,NA,1.79797529,8.74518719,0.00004936,0.03483257,22.67762423,NA,0.00000000,0.00000319,0.00000000,NA,NA,125.96346375,1.76782486,0.20336113
8,1,MS,phloem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.29086801,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,167.48243347,NA,NA
8,1,MS,roots,0.01737657,0.00000000,0.00093785,0.00131141,0.00016831,0.98978439,0.00000000,0.00017460,NA,0.06969338,0.07848218,NA,NA,NA,0.05201946,0.60007076,1.00910078,NA,0.89622079,NA,NA,14.28654028,0.00000000,-38.92914639,0.19768811,NA,1.81488712,8.77629624,0.00004865,0.03488123,22.84012555,NA,0.00000000,0.00000319,0.00000000,NA,NA,121.83583997,1.74252207,0.20019501
9,1,MS,phloem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.24832003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,168.08337301,NA,NA
9,1,MS,roots,0.01715117,0.00000000,0.00098017,0.00136725,0.00017489,0.98466827,0.00000000,0.00017484,NA,0.06943637,0.07641401,NA,NA,NA,0.05151094,0.59228720,1.00399723,NA,0.89115180,NA,NA,14.32065466,0.00000000,-28.00900477,0.19247862,NA,1.83185033,8.80726297,0.00004802,0.03492925,22.99735772,NA,0.00000000,0.00000330,0.00000000,NA,NA,118.15038663,1.71991971,0.19736131
10,1,MS,phloem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.19490719,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,168.27050252,NA,NA
10,1,MS,roots,0.01699390,0.00000000,0.00101035,0.00140564,0.00017924,0.98137303,0.00000000,0.00017508,NA,0.06930604,0.07463326,NA,NA,NA,0.05110411,0.58685591,1.00074947,NA,0.88754713,NA,NA,14.35466987,0.00000000,-18.96509961,0.18799309,NA,1.84887164,8.83813877,0.00004758,0.03497684,23.14995719,NA,0.00000000,0.00000337,0.00000000,NA,NA,114.83107512,1.70414799,0.19504341
11,1,MS,phloem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.13598972,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,167.95926783,NA,NA
11,1,MS,roots,0.01690588,0.00000000,0.00099983,0.00138708,0.00017636,0.97995170,0.00000000,0.00017532,NA,0.06930585,0.07310734,NA,NA,NA,0.05079443,0.58381656,0.99939418,NA,0.88544729,NA,NA,14.38869296,0.00000000,-11.60633663,0.18414948,NA,1.86598885,8.86898322,0.00004734,0.03502417,23.29861342,NA,0.00000000,0.00000331,0.00000000,NA,NA,111.80132176,1.69532214,0.19320762
12,1,MS,phloem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.07141777,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,167.16122165,NA,NA
12,1,MS,roots,0.01670639,0.00000000,0.00212365,0.00293892,0.00037266,0.97561276,0.00000000,0.00017555,NA,0.06909171,0.07145983,NA,NA,NA,0.05037407,0.57692750,0.99497748,NA,0.88046755,NA,NA,14.42148968,0.00000000,-6.05857312,0.17999956,NA,1.88207917,8.89949544,0.00004678,0.03507095,23.44151264,NA,0.00000000,0.00000697,0.00000000,NA,NA,109.01027944,1.67531726,0.19092561
13,1,MS,phloem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.00395142,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,166.23328669,NA,NA
13,1,MS,roots,0.01639122,0.00000000,0.00434174,0.00599872,0.00075882,0.96827025,0.00000000,0.00017578,NA,0.06865329,0.06968973,NA,NA,NA,0.04983461,0.56604337,0.98737164,NA,0.87251843,NA,NA,14.45186164,0.00000000,-1.49726539,0.17554088,NA,1.89605991,8.92938096,0.00004590,0.03511684,23.57702582,NA,0.00000000,0.00001414,0.00000000,NA,NA,106.43519349,1.64371126,0.18817763
14,1,MS,phloem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.93299942,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,165.19738351,NA,NA
14,1,MS,roots,0.01614456,0.47785928,0.00438296,0.00603625,0.00076185,0.96279447,0.00878676,0.00017601,NA,0.06834153,0.06813108,NA,NA,NA,0.04937512,0.55752554,0.98162437,NA,0.86606948,NA,NA,14.48472075,0.08581065,2.38929640,0.17161482,NA,1.91277446,8.95907362,0.00004520,0.03516205,23.70861482,NA,0.00000000,0.00001414,0.00000000,NA,NA,104.02430520,1.61897669,0.18584774
15,1,MS,phloem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.85342548,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,164.05257615,NA,NA
15,1,MS,roots,0.01602026,1.17543003,0.00462172,0.00633099,0.00079738,0.96071495,0.02233881,0.00017623,NA,0.06826390,0.06686522,NA,NA,NA,0.04906940,0.55323310,0.97926012,NA,0.86244363,NA,NA,14.52142940,0.20969778,5.87715015,0.16842624,NA,1.93346285,8.98863982,0.00004486,0.03520691,23.83668690,NA,0.00000000,0.00001476,0.00000000,NA,NA,101.73551734,1.60651204,0.18419853
16,1,MS,phloem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.76817634,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,162.80658366,NA,NA
16,1,MS,roots,0.01605260,1.80384001,0.00601344,0.00818274,0.00102864,0.96312849,0.03545625,0.00017646,NA,0.06849440,0.06594106,NA,NA,NA,0.04895865,0.55434984,0.98131388,NA,0.86251263,NA,NA,14.56050321,0.31954688,9.01920004,0.16609839,NA,1.95648405,9.01801402,0.00004495,0.03525185,23.96040090,NA,0.00000000,0.00001897,0.00000000,NA,NA,99.53631075,1.60975489,0.18339412
17,1,MS,phloem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.67878177,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,161.46669651,NA,NA
17,1,MS,roots,0.01618036,2.37001741,0.00622728,0.00840463,0.00105464,0.96843832,0.04823940,0.00017668,NA,0.06892326,0.06522605,NA,NA,NA,0.04896843,0.55876188,0.98619069,NA,0.86483466,NA,NA,14.60276169,0.41676742,11.85008703,0.16429735,NA,1.98256218,9.04748073,0.00004531,0.03529716,24.08182117,NA,0.00000000,0.00001939,0.00000000,NA,NA,97.40392111,1.62256682,0.18311774
18,1,MS,phloem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.58538666,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,160.03582617,NA,NA
18,1,MS,roots,0.01636766,2.89095543,0.00779201,0.01042324,0.00130581,0.97583550,0.06096051,0.00017691,NA,0.06948802,0.06465097,NA,NA,NA,0.04906173,0.56522980,0.99298231,NA,0.86856879,NA,NA,14.64662984,0.50448404,14.45477717,0.16284879,NA,2.01006267,9.07686512,0.00004583,0.03534299,24.19944817,NA,0.00000000,0.00002393,0.00000000,NA,NA,95.32402849,1.64134879,0.18320073
19,1,MS,phloem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.48850426,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,158.51861732,NA,NA
19,1,MS,roots,0.01654799,3.36491814,0.00813165,0.01076992,0.00134719,0.98346132,0.07357573,0.00017714,NA,0.07006002,0.06408584,NA,NA,NA,0.04915769,0.57145709,0.99984527,NA,0.87207469,NA,NA,14.69296229,0.58252992,16.82459071,0.16142530,NA,2.03984713,9.10636912,0.00004633,0.03538932,24.31496901,NA,0.00000000,0.00002461,0.00000000,NA,NA,93.29052522,1.65943197,0.18330355
20,1,MS,phloem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.38820717,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,156.91570343,NA,NA
20,1,MS,roots,0.01676366,3.80558155,0.00996689,0.01306693,0.00163231,0.99265414,0.08629558,0.00017738,NA,0.07072865,0.06361135,NA,NA,NA,0.04930841,0.57890506,1.00805052,NA,0.87641899,NA,NA,14.74005204,0.65338463,19.02790774,0.16023011,NA,2.07017322,9.13577970,0.00004694,0.03543626,24.42660912,NA,0.00000000,0.00002972,0.00000000,NA,NA,91.29335276,1.68105982,0.18364841
21,1,MS,phloem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.31655551,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,155.56748200,NA,NA
21,1,MS,roots,0.01706060,4.27232509,0.01028140,0.01333302,0.00166345,1.00482859,0.10056389,0.00017762,NA,0.07159809,0.06330234,NA,NA,NA,0.04956274,0.58915922,1.01906837,NA,0.88281201,NA,NA,14.78925481,0.73003861,21.36162546,0.15945175,NA,2.10231539,9.16542401,0.00004777,0.03548403,24.53671733,NA,0.00000000,0.00003019,0.00000000,NA,NA,89.31411662,1.71083649,0.18446318
22,1,MS,phloem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.23078986,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,155.11006850,NA,NA
22,1,MS,roots,0.01745631,5.04253650,0.01772612,0.02277812,0.00283923,1.02111573,0.12294498,0.00017786,NA,0.07272618,0.06322907,NA,NA,NA,0.04995834,0.60282440,1.03370069,NA,0.89189291,NA,NA,14.83465847,0.85024941,25.21268248,0.15926718,NA,2.13026274,9.19425342,0.00004888,0.03553291,24.63654667,NA,0.00000000,0.00005136,0.00000000,NA,NA,87.37182501,1.75051828,0.18591358
23,1,MS,phloem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.14376154,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,154.79873389,NA,NA
23,1,MS,roots,0.01791208,5.76238417,0.01788946,0.02275069,0.00283342,1.04019032,0.14571841,0.00017811,NA,0.07404205,0.06329599,NA,NA,NA,0.05043182,0.61856375,1.05092072,NA,0.90271897,NA,NA,14.88346682,0.95738283,28.81192085,0.15943574,NA,2.16115902,9.22351227,0.00005015,0.03558306,24.73583513,NA,0.00000000,0.00005110,0.00000000,NA,NA,85.46228801,1.79622315,0.18776986
24,1,MS,phloem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.05387097,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,154.26262590,NA,NA
24,1,MS,roots,0.01824527,6.41127238,0.01461269,0.01834593,0.00228282,1.05619809,0.16857209,0.00017837,NA,0.07514237,0.06315655,NA,NA,NA,0.05078592,0.63006991,1.06500906,NA,0.91038868,NA,NA,14.93879032,1.05021366,32.05636191,0.15908450,NA,2.19823725,9.25363854,0.00005109,0.03563415,24.83856818,NA,0.00000000,0.00004103,0.00000000,NA,NA,83.60516726,1.82963544,0.18908484
25,1,MS,phloem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.96412240,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,154.34134585,NA,NA
25,1,MS,roots,0.01843647,7.23958181,0.02000503,0.02481812,0.00308623,1.06861102,0.19756925,0.00017863,NA,0.07596291,0.06280774,NA,NA,NA,0.05100485,0.63667269,1.07508128,NA,0.91421976,NA,NA,14.99209826,1.16424313,36.19790907,0.15820590,NA,2.23310872,9.28312802,0.00005162,0.03568577,24.93343109,NA,0.00000000,0.00005530,0.00000000,NA,NA,81.82838745,1.84880900,0.18977549
26,1,MS,phloem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.87591403,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,154.97607056,NA,NA
26,1,MS,roots,0.01864697,8.25541029,0.02808279,0.03448584,0.00428715,1.08262091,0.23312532,0.00017889,NA,0.07686772,0.06257879,NA,NA,NA,0.05126819,0.64394188,1.08629756,NA,0.91871191,NA,NA,15.04124035,1.29867375,41.27705147,0.15762920,NA,2.26360385,9.31161314,0.00005221,0.03573798,25.01747794,NA,0.00000000,0.00007658,0.00000000,NA,NA,80.15851069,1.86991772,0.19071470
27,1,MS,phloem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.78289271,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,155.10637870,NA,NA
27,1,MS,roots,0.01898669,9.00769024,0.01733099,0.02095680,0.00260371,1.10104685,0.26458371,0.00017915,NA,0.07811987,0.06261026,NA,NA,NA,0.05170578,0.65567385,1.10235307,NA,0.92694567,NA,NA,15.10432510,1.38881509,45.03845118,0.15770847,NA,2.30770191,9.34211545,0.00005316,0.03579114,25.11446425,NA,0.00000000,0.00004636,0.00000000,NA,NA,78.56516930,1.90398573,0.19243591
28,1,MS,phloem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.68161127,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,154.09299056,NA,NA
28,1,MS,roots,0.01919840,9.42023483,0.01061326,0.01259974,0.00156424,1.11536094,0.28865539,0.00017942,NA,0.07909752,0.06240348,NA,NA,NA,0.05203679,0.66298465,1.11447498,NA,0.93144810,NA,NA,15.17612127,1.43101505,47.10117417,0.15718761,NA,2.36029968,9.37383927,0.00005376,0.03584490,25.21867229,NA,0.00000000,0.00002776,0.00000000,NA,NA,77.02810284,1.92521529,0.19353779
29,1,MS,phloem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.57539049,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,152.12848563,NA,NA
29,1,MS,roots,0.01928124,9.47045265,0.00955801,0.01113955,0.00138197,1.12559625,0.30276918,0.00017969,NA,0.07977897,0.06195297,NA,NA,NA,0.05222785,0.66584544,1.12238594,NA,0.93190422,NA,NA,15.24928015,1.42415862,47.35226326,0.15605283,NA,2.41417732,9.40579713,0.00005399,0.03589889,25.32280771,NA,0.00000000,0.00002444,0.00000000,NA,NA,75.51413256,1.93352260,0.19395979
30,1,MS,phloem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.46923971,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,149.75795930,NA,NA
30,1,MS,roots,0.01923431,9.33127708,0.00983965,0.01126860,0.00139708,1.13171149,0.31107049,0.00017996,NA,0.08015205,0.06125115,NA,NA,NA,0.05224340,0.66422484,1.12594562,NA,0.92812048,NA,NA,15.32109092,1.39237054,46.65638541,0.15428501,NA,2.46675378,9.43764688,0.00005386,0.03595274,25.42484768,NA,0.00000000,0.00002462,0.00000000,NA,NA,73.99597107,1.92881661,0.19364660
31,1,MS,phloem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.36779581,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,147.20446730,NA,NA
31,1,MS,roots,0.01915814,9.09128943,0.01593979,0.01799296,0.00222989,1.13773198,0.31516042,0.00018023,NA,0.08047896,0.06051249,NA,NA,NA,0.05221231,0.66159428,1.12885358,NA,0.92305472,NA,NA,15.38530314,1.34876667,45.45644713,0.15242440,NA,2.51180787,9.46852760,0.00005364,0.03600639,25.51813401,NA,0.00000000,0.00003917,0.00000000,NA,NA,72.45698123,1.92117784,0.19320376
32,1,MS,phloem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.26882123,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,144.56371496,NA,NA
32,1,MS,roots,0.01879977,8.90782833,0.02066492,0.02304575,0.00285553,1.13402597,0.32029304,0.00018049,NA,0.08009036,0.05926568,NA,NA,NA,0.05176872,0.64921865,1.12176287,NA,0.90932869,NA,NA,15.44322315,1.31519610,44.53914163,0.14928384,NA,2.55092811,9.49833256,0.00005264,0.03605903,25.60341657,NA,0.00000000,0.00005001,0.00000000,NA,NA,70.94512475,1.88524073,0.19112476
33,1,MS,phloem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.17919378,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,141.91551184,NA,NA
33,1,MS,roots,0.01865812,8.55431475,0.02433134,0.02686460,0.00332860,1.13912465,0.31857354,0.00018075,NA,0.08028994,0.05844882,NA,NA,NA,0.05159960,0.64432699,1.12293134,NA,0.90147323,NA,NA,15.49550002,1.25955713,42.77157373,0.14722625,NA,2.58454686,9.52742668,0.00005224,0.03611127,25.68273705,NA,0.00000000,0.00005811,0.00000000,NA,NA,69.40007343,1.87103601,0.19033836
34,1,MS,phloem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.09629046,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,139.28665088,NA,NA
34,1,MS,roots,0.01819097,8.29310504,0.03054401,0.03347860,0.00414891,1.13264135,0.31892267,0.00018101,NA,0.07964102,0.05705150,NA,NA,NA,0.05096011,0.62819477,1.11228669,NA,0.88363094,NA,NA,15.53969119,1.21946241,41.46552520,0.14370654,NA,2.61054706,9.55509946,0.00005093,0.03616220,25.75225000,NA,0.00000000,0.00007222,0.00000000,NA,NA,67.88335587,1.82419030,0.18765263
35,1,MS,phloem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.01727764,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,136.69968773,NA,NA
35,1,MS,roots,0.01751986,8.04803379,0.02678222,0.02911936,0.00360920,1.11804309,0.31972415,0.00018125,NA,0.07843073,0.05529846,NA,NA,NA,0.05000980,0.60501927,1.09389954,NA,0.85952569,NA,NA,15.58553377,1.18256255,40.24016896,0.13929083,NA,2.63886978,9.58248379,0.00004906,0.03621126,25.82235136,NA,0.00000000,0.00006265,0.00000000,NA,NA,66.42511334,1.75689187,0.18373899
36,1,MS,phloem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.93969541,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,134.12408575,NA,NA
36,1,MS,roots,0.01737514,7.81495115,0.01906466,0.02051815,0.00254304,1.12390966,0.32170191,0.00018150,NA,0.07866374,0.05455019,NA,NA,NA,0.04981351,0.60002140,1.09567736,NA,0.85058926,NA,NA,15.63785983,1.14776280,39.07475576,0.13740601,NA,2.67382070,9.61064183,0.00004865,0.03625991,25.89905927,NA,0.00000000,0.00004401,0.00000000,NA,NA,64.95385081,1.74237874,0.18302744
37,1,MS,phloem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.86872191,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,131.55895244,NA,NA
37,1,MS,roots,0.01729026,7.59630506,0.03415078,0.03657868,0.00453551,1.13385958,0.32232818,0.00018174,NA,0.07911112,0.05396346,NA,NA,NA,0.04973108,0.59709038,1.10043950,NA,0.84289644,NA,NA,15.67411082,1.11691342,37.98152531,0.13592810,NA,2.69278143,9.63656787,0.00004841,0.03630832,25.95798365,NA,0.00000000,0.00007829,0.00000000,NA,NA,63.46075337,1.73386747,0.18280566
38,1,MS,phloem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.80788090,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,129.05731463,NA,NA
